"Title:","Author:","Publisher","Published Date:","Format:","Page number:","Series:","Vol:","Language:","ISBN:","Page read","Item_Url","Icon_Path","Photo_Path","Book Cover","Summary","Location:","Price:","Category:","RATE","Date added:","Copy","Read","Favorite","Comments","Bookshelf:","List Type"
"Aur phir ek dīn #copy 10","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","10","","","","Hindi",""
"Aur phir ek dīn #copy 11","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","11","","","","Hindi",""
"Aur phir ek dīn #copy 12","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","12","","","","Hindi",""
"Aur phir ek dīn #copy 13","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","13","","","","Hindi",""
"Aur phir ek dīn #copy 14","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","14","","","","Hindi",""
"Aur phir ek dīn #copy 15","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","15","","","","Hindi",""
"Aur phir ek dīn #copy 16","Shah, Naseeruddin","","2020","Paperback","280","","","en","9788194366522","0","http://books.google.co.in/books?id=fzk7zQEACAAJ&dq=9788194366522&hl=&source=gbs_api","/HandyLibrary/Icons/Img_9788194366522.png","/HandyLibrary/Photos/Img_9788194366522.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Autobiography of an Indian motion picture actor.</p>
<br>
","","495.0","Motion picture actors and actresses","","7/25/2020","16","","","","Hindi",""
"Pīlī chatarī vālī laṛakī #copy 1","Prakāśa, Udaya","Vani Prakashan","2001-1-1","Paperback","156","","","hin","9788170557548","0","https://www.goodreads.com/book/show/7843341-p-l-chatar-v-l-la-ak","/HandyLibrary/Icons/Img_9788170557548.png","/HandyLibrary/Photos/Img_9788170557548.png","https://books.google.com/books/content?id=Fr9uCe-ysJsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","300.0","Social","4.5","7/25/2020","1","","","","Hindi",""
"पोस्ट बॉक्स नं. 203 नाला सोपारा","Mudgal, Chitra","","0-0-0","Paperback","0","","","","9788171383467","0","https://www.goodreads.com/book/show/36316458-203","/HandyLibrary/Icons/Img_9788171383467.png","/HandyLibrary/Photos/Img_9788171383467.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Hindi Literature</p>
","","295.0","Partially-read","4.0","7/25/2020","","","","","Hindi",""
"वयं रक्षामः #copy 3","चतुरसेन, आचार्य; Chatursen, Acharya","","0-0-0","Paperback","502","","","en","9789353490027","0","https://www.goodreads.com/book/show/53027451","/HandyLibrary/Icons/Img_9789353490027.png","/HandyLibrary/Photos/Img_9789353490027.png","","<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Vayam Rakshamah is a classic hindi/sanskrit novel on Ravana's quest for bringing all dev, daitya, danav, manav, naag under one umbrella of Raksha community. It relates the political development of that age with current geography in a very interesting way. It also brings out a new perspective on Ravana, his rise and his fall.</p>
<br>
","","325.0","Hindi","4.5","7/25/2020","3","","","","Hindi",""
"Anbhai Sanchna","Pandey, Manager","Vani Prakashan","","Paperback","0","","","en","9789350009444","0","https://play.google.com/store/books/details?id=TkE5DwAAQBAJ&source=gbs_api","/HandyLibrary/Icons/Img_9789350009444.png","/HandyLibrary/Photos/Img_9789350009444.png","https://books.google.com/books/content?id=TkE5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","495.0","Bibles","","7/25/2020","","","","","Hindi",""
