handleId,fieldType,name,description,productImageUrl,collection,isbn,price,visible,inventory,additionalInfoTitle1,additionalInfoDescription1,,,
9788126701827,Product,Varun Ke Bete,Varun Ke Bete - Nagarjun,https://cdn.exoticindia.com/details/books-2019/nzq899.jpg,Nagarjun,9788126701827,75,TRUE,1,Written By Nagarjun,Varun Ke Bete - Nagarjun,,,
9788126702343,Product,प्रतिनिधि व्यंग्य,प्रतिनिधि व्यंग्य - Harishankar Parsai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126702343.png,Harishankar Parsai,9788126702343,75,TRUE,1,Written By Harishankar Parsai,प्रतिनिधि व्यंग्य - Harishankar Parsai,,,
9788126702503,Product,प्रतिनिधि कहानियां,प्रतिनिधि कहानियां - Khushwant Singh,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126702503.png,Khushwant Singh,9788126702503,75,TRUE,1,Written By Khushwant Singh,प्रतिनिधि कहानियां - Khushwant Singh,,,
9788126702565,Product,Pratinidhi Kavitayen : Trilochan,Pratinidhi Kavitayen : Trilochan - Trilochan,,Trilochan,9788126702565,75,TRUE,1,Written By Trilochan,Pratinidhi Kavitayen : Trilochan - Trilochan,,,
9788126702633,Product,Pratinidhi Kavitayen : Ibne Insha,Pratinidhi Kavitayen : Ibne Insha - Ibne Inshan,,Ibne Inshan,9788126702633,75,TRUE,1,Written By Ibne Inshan,Pratinidhi Kavitayen : Ibne Insha - Ibne Inshan,,,
9788126702923,Product,Raskapur,Raskapur - Anand Sharma,,Anand Sharma,9788126702923,125,TRUE,1,Written By Anand Sharma,Raskapur - Anand Sharma,,,
9788126703135,Product,प्रतिनिधि कहानियाँ,प्रतिनिधि कहानियाँ - Rajendra Yadav,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126703135.png,Rajendra Yadav,9788126703135,60,TRUE,1,Written By Rajendra Yadav,प्रतिनिधि कहानियाँ - Rajendra Yadav,,,
9788126703142,Product,प्रतिनिधि कहानियाँ: शेखर जोशी,प्रतिनिधि कहानियाँ: शेखर जोशी - Shekhar Joshi,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126703142.png,Shekhar Joshi,9788126703142,75,TRUE,1,Written By Shekhar Joshi,प्रतिनिधि कहानियाँ: शेखर जोशी - Shekhar Joshi,,,
9788126703296,Product,Pratinidhi kahāniyām̐,Pratinidhi kahāniyām̐ - Rājindar Singh Bedī,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_9788126703296.jpeg,Rājindar Singh Bedī,9788126703296,150,TRUE,1,Written By Rājindar Singh Bedī,Pratinidhi kahāniyām̐ - Rājindar Singh Bedī,,,
9788126703326,Product,प्रतिनिधि कहानियाँ: भीष्म साहनी,प्रतिनिधि कहानियाँ: भीष्म साहनी - Bhisham Sahni,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126703326.png,Bhisham Sahni,9788126703326,195,TRUE,1,Written By Bhisham Sahni,प्रतिनिधि कहानियाँ: भीष्म साहनी - Bhisham Sahni,,,
9788126703357,Product,हम इक उस से वाकिफ हैं,हम इक उस से वाकिफ हैं - Harishankar Parsai,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788126703357.png,Harishankar Parsai,9788126703357,295,TRUE,1,Written By Harishankar Parsai,हम इक उस से वाकिफ हैं - Harishankar Parsai,,,
9788126703395,Product,Vaishṇava kī phisalana,Vaishṇava kī phisalana - Hariśaṅkara Parasāī,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_9788126703395.jpeg,Hariśaṅkara Parasāī,9788126703395,295,TRUE,1,Written By Hariśaṅkara Parasāī,Vaishṇava kī phisalana - Hariśaṅkara Parasāī,,,
