handleId, fieldType, name, description, productImageUrl, collection, isbn, price, visible, inventory, additionalInfoTitle1, additionalInfoDescription1
9780143104391, Product, Blaika frāiḍe, Blaika frāiḍe - S. Hussain Zaidi, http://images.amazon.com/images/P/014310439X.01Z.jpg, Hindi, 9780143104391, 299.00, TRUE, 1, Written By S. Hussain Zaidi, Blaika frāiḍe - S. Hussain Zaidi
9780143421054, Product, कई चांद थे सरे-आसमां / Kai chand the sar-e-aasman, कई चांद थे सरे-आसमां / Kai chand the sar-e-aasman - Shamsur Rahman; 'Nadeem' Faruqi, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9780143421054.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=X1Mw0pxWZJ2hIuLtdST0UUA5VA1AeTIJT3cMOoLw6OPrIFPpaCLCCfuMePio1MnAo5ALeaASY5js%2FuqJRVBnkK9ZjQOl2KazhVD4RFQLkumPb6ov2k1rlNKtFZ%2FN3pwa51R1K5seoElyxVrNn1yPMrBs4PiaFFySEYXAf9kFVeiadb%2FsjthalbAVEfdzHQML95yN3uA3%2FhA3qzRqECNHfBfVu0FUMupug3aPBQZHQFej7%2BdYehx3hEORPlWn9bYZ16Top%2BKQK2iX6OHWSsvQBh4QLOG9uYAnUygWmkp9R0zEhzgL34plCigD7qKLj3S7pR2fVet23CHao1Wc9Wnn0A%3D%3D, Hindi, 9780143421054, 650.0, TRUE, 2, Written By Shamsur Rahman; 'Nadeem' Faruqi, कई चांद थे सरे-आसमां / Kai chand the sar-e-aasman - Shamsur Rahman; 'Nadeem' Faruqi
9780143440451, Product, और फ़िर एक दिन, और फ़िर एक दिन - Naseeruddin Shah, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9780143440451.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=qtpwXHyTAVqoNJ7ZZRh%2BMuv%2FPybsnK%2FZF6j%2B%2FjktIfX26exbe%2FcX3gRyjhoaBNqVundxwN%2Fcu76%2F%2FKNgIVB8ULReK82ra9B7VzBfVLILov62nHcyK0ySf8kUKNSJSnTCSfD8ouYKzR5Va%2BKxQ0BBOMJomusavhB8bcEQdZ0jJYfBYtGR4NPiQYrJgRrwbwOe9qOB4PvOC2BkSE%2BxQZixWzv7Zy9wPFIEOsEAKzvcsb9zlSWlAKBC%2F8uyTxa%2Bt6iVGB2ps8mTtDtvRPvnHjoW3tDF%2F4EOObahqk8PdZffleDGX3gJr7nSdEp4wZs95qgYUsPDpnj8kL4ddvd4AfTl2g%3D%3D, Hindi, 9780143440451, 299.0, TRUE, 2, Written By Naseeruddin Shah, और फ़िर एक दिन - Naseeruddin Shah
9788121602716, Product, Navin ank jyotish., Navin ank jyotish. - Narayandatt Shrimali, http://images.amazon.com/images/P/8121602718.01Z.jpg, Hindi, 9788121602716, 125.00, TRUE, 1, Written By Narayandatt Shrimali, Navin ank jyotish. - Narayandatt Shrimali
9788121615150, Product, Hindī ke lokapriya gītakāra, Hindī ke lokapriya gītakāra - Neeraj & Kiran Singh, http://images.amazon.com/images/P/8121615151.01Z.jpg, Hindi, 9788121615150, 150.00, TRUE, 1, Written By Neeraj & Kiran Singh, Hindī ke lokapriya gītakāra - Neeraj & Kiran Singh
9788122500752, Product, Dimāgī gulāmī, Dimāgī gulāmī - Rāhula Sāṅkṛtyāyana, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788122500752.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=K4TP%2BY2ognRdDgHPhEOpfjS4db9RWrY9rLhfYIATjfYPDiS0H6DmGAbOCReNzedXFCzfw9bjc3UeL6ooOh%2B4IFli5uaTeu2rKCd24A54iov9mPTNo11haVQhuph61PP89QJyNvmoh0VJMVoDw8yuw6EqlQS6AX4rJqyOxstgi%2BufD1WBvbIeg%2BiohDmMYviG8k7cO857I7RD2KDerz4%2BvUT8cF347oC6DHvG9MAFljCq5Y1oyB0QaErjMz5ZgqOTXo2Lqm90H8u0rGiNWaSaY7BQDH3h6%2B8ojjPPN1h6kXjdxhS73DnqJ2bGo2WTrQ45XfITYTP8VQAnT0LJBS9E9g%3D%3D, Hindi, 9788122500752, 40.00, TRUE, 1, Written By Rāhula Sāṅkṛtyāyana, Dimāgī gulāmī - Rāhula Sāṅkṛtyāyana
9788122500806, Product, Kanailā kī kathā, Kanailā kī kathā - Rāhul Sāṅkṛtyāyana, https://s3.amazonaws.com/kimicoapps-bookbuddy/08474CB9-5FAC-4EE0-88D2-23111FA00FB1, Hindi, 9788122500806, 50.00, TRUE, 1, Written By Rāhul Sāṅkṛtyāyana, Kanailā kī kathā - Rāhul Sāṅkṛtyāyana
9788122501032, Product, अँधा युग, अँधा युग - धर्मवीर भारती, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788122501032.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=H0KBmfzV9A%2BxgJwwfj0DTInq3wn2CsR7%2FvsmvDZNy4KqlVK%2FCBtR0n3K2EXLoC9S0%2BUUIUyL1Jkc7JxMpD34%2B93mMxIbh6SAm%2F%2FyDZ0fh0DF4zEQujCo2Mhgb8T5xv3qNK%2B4hbigionvHBdhnwqimnGcLYkaRP3k9PC5giZUcparN7qxtK3OYESbO5u0WySmHzskJhs87Ba5E776sXq2xrtqn%2FKM6RGFdGcLJFDV90o5xG9tafjwg%2BuuQisLbnLajw5Lx0GPZhKYXju%2FdY9ifP2sy5eO5PRdf%2FHPAjBYEl6dhKUA4TdPNMur%2By3nKeUeB7LnCqTzFZkuIWbEDAwejw%3D%3D, Hindi, 9788122501032, 200.0, TRUE, 1, Written By धर्मवीर भारती, अँधा युग - धर्मवीर भारती
9788122501896, Product, सिंह सेनापति, सिंह सेनापति - Rahul Sankrityayan, https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788122501896.png?GoogleAccessId=paperback-books-7652f%40appspot.gserviceaccount.com&Expires=16730323200&Signature=CplGBzY5CDkvbldQ6FI3r4tve64%2Fo58SAEdJzNeFTwUza%2B8oUpdotAPMHR%2BMcyvMIdp%2FmLIiLKmJqEEyn%2B3P6pXyCmEtAsXKZQW5d%2BNxkkpHbcX2s8hfC5coubDtl%2Ba5NiiVggH7Vpu0FCn0S5q6rzpk5QpZWNYJcMLHdvqaj9ca49CH4r2R1mteX6O1fUMtVotFJ8F6Ydp%2BUMv%2FsRU7BBV0hmiHsxZZVd5xiWhfqUG8dr71DlLf2iTunCezaIBiuGYfJ4iMEvOST138wb1SQVSOPEVfJd%2FDQdMv%2FxbcRr3bq1YR83QN72lxWcBy9C3ISVN97u8TGLt%2FwYT9S4NiIQ%3D%3D, Hindi, 9788122501896, 95.0, TRUE, 1, Written By Rahul Sankrityayan, सिंह सेनापति - Rahul Sankrityayan
9788122503258, Product, Tibbata meṃ Bauddha dharma, Tibbata meṃ Bauddha dharma - Rāhula Sāṅkṛtyāyana, https://s3.amazonaws.com/kimicoapps-bookbuddy/9F99DA97-60BA-442C-A6DC-BE362E093D64, Hindi, 9788122503258, 45.00, TRUE, 1, Written By Rāhula Sāṅkṛtyāyana, Tibbata meṃ Bauddha dharma - Rāhula Sāṅkṛtyāyana
