Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Deepgeet,,,,,Mahadevi Verma,"Verma, Mahadevi",,,,,,Rajpal & Sons,,,2005,,,,,Mahadevi Verma's poems collection.,,,,,,,,,,,103,,,,,175 ₹,Hindi,,,,,,9788170284949,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:27:34.659741997,,,,,,,hdtlhWelK1IC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/31B8094E-5F49-4627-97A2-BCAE289F44D5,
Khattar Kaka,,,,,Harimohan Jha,"Jha, Harimohan",,,,,,Rajkamal Prakashan,,2007/09/01,2007,,,,,"खट्टर काका -- धर्म और इतिहास, पुराण के अस्वस्थ, लोकविरोधी प्रसंगों की दिलचस्प लेकिन कड़ी आलोचना प्रस्तुत करनेवाली, बहुमुखी प्रतिभा के धनी हरिमोहन झा की बहुप्रशंसित, उल्लेखनीय व्यंग्यकृति है-खट्टर काका! आज से लगभग पचास वर्ष पूर्व खट्टर काक मैथिली भाषा में प्रकट हुए। जन्म लेते ही वह प्रसिद्ध हो उठे। मिथिला के घर-घर में उनका नाम चर्चित हो गया। जब उनकी कुछ विनोद-वार्त्ताएँ ‘कहानी’, ‘धर्मयुग’ आदि में छपीं तो हिंदी पाठकों को भी एक नया स्वाद मिला। गुजराती पाठकों ने भी उनकी चाशनी चखी। वह इतने बहुचर्चित और लोकप्रिय हुए कि दूर-दूर से चिट्ठियाँ आने लगीं-‘‘यह खट्टर काका कौन हैं कहाँ रहते हैं, उनकी और-और वार्त्ताएँ कहाँ मिलेंगी?’’ खट्टर काका मस्त जीव हैं। ठंडाई छानते हैं और आनंद-विनोद की वर्षा करते हैं। कबीरदास की तरह खट्टर काका उलटी गंगा बहा देते हैं। उनकी बातें एक-से-ए अनूठी, निराली और चौंकानेवाली होती हैं। जैसे-‘‘ब्रह्मचारी को वेद नहीं पढ़ना चाहिए। सती-सावित्री के उपाख्यान कन्याओं के हाथ नहीं देना चाहिए। पुराण बहू-बेटियों के योग्य नहीं हैं। दुर्गा की कथा स्त्रैणों की रची हुई है। गीता में श्रीकृष्ण ने अर्जुन को फुसला दिया है। दर्शनशास्त्र की रचना रस्सी देखकर हुई। असली ब्राह्मण विदेश में हैं। मूर्खता के प्रधान कारण हैं पंडितगण! दही-चिउड़-चीनी सांख्य के त्रिगुण हैं। स्वर्ग जाने से धर्म भ्रष्ट हो जाता है...!’’ खट्टर काका हँसी-हँसी में भी जो उलटा-सीधा बोल जाते हैं, उसे प्रमाणित किए बिना नहीं छोड़ते। श्रोता को अपने तर्क-जाल में उलझाकर उसे भूल-भुलैया में डाल देना उनका प्रिय कौतुक है। वह तसवीर का रुख तो यो पलट देते हैं कि सारे परिप्रेक्ष्य ही बदल जाते हैं। रामायण, महाभारत, गीता, वेद, वेदांत, पुराण-सभी उलट जाते हैं। बडे़-बड़े दिग्गज चरित्र बौने-विद्रूप बन जाते हैं। सिद्धान्तवादी सनकी सिद्ध होते हैं, और जीवमुक्त मिट्टी के लोंदे। देवतागण गोबर-गणेश प्रतीत होते हैं। धर्मराज अधर्मराज, और सत्यनारायण असत्यनारायण भासित होते हैं। आदर्शों के चित्र कार्टून जैसे दृष्टिगोचर होते हैं...। वह ऐसा चश्मा लगा देते हैं कि दुनिया ही उलटी नजर आती है। स्वर्ण जयंती के अवसर पर प्रकाशित हिंदी पाठकों के लिए एक अनुपम कृति-खट्टर काका।",,,,,,,,,,,199,,,,,199 INR,Hindi,,,,,,9788126704279,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:28:06.106505990,,,,,,,psrNs-9NVvsC,Hindi,0,0,,,
Merī priya kahāniyām̐,,,,,Citrā Mudgala,"Mudgala, Citrā",,,,,,Rājapāla eṇḍa Sanza,,,2013,,,,,,,,,,,,,,,,128,,,,,135 ₹,,,,,,,9789350641286,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:23:13.742455005,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641283.01Z.jpg,
Merī priya kahāniyām̐,,,,,Citrā Mudgala,"Mudgala, Citrā",,,,,,Rājapāla eṇḍa Sanza,,,2013,,,,,,,,,,,,,,,,128,,,,,135 ₹,,,,,,,9789350641286,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:23:33.260645031,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641283.01Z.jpg,
Merī priya kahāniyāṃ,,,,,Nasira Sharma,"Sharma, Nasira",,,,,,Rājapāla eṇḍ Sanz,,,2011,,,,,,,,,,,,,,,,,,,,,125 ₹,,,,,,,9788170289562,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 15:21:55.071601986,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289564.01Z.jpg,
