Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Ādhunika kahānī,,Slovākiyā,,,Amrut Meheta,"Meheta, Amrut",,,,,,Vāṇī Prakāśana,,,2013,,,,,,,,,,,,,,,,104,,,,,250 ₹,,,,,,,9789350008348,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:25:57.036087989,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/4E24A358-7D85-4079-A8C5-F2D2FAB150D0,
Bolacāla kī Hindī aura sañcāra,,,,,Madhu Dhavana,"Dhavana, Madhu",,,,,,Vani Prakashan,,,2006,,,,,On the usage of Hindi language.,,,,,,,,,,,88,,,,,200 ₹,Hindi,,,,,,9788181434920,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:56:39.205023050,,,,,,,6-_7ai4fuTEC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/0987C92D-0206-4B20-A634-9EDAE695AAA5,
"Bolna Hi Hai : Loktantra, Sanskriti Aur Rashtra Ke Bare Mein",,"Lokatantra, saṃskr̥ti aura rāshṭra ke bāre meṃ",,,Ravish Kumar,"Kumar, Ravish",,,,,,Rajkamal Prakashan,,2020/02/01,2020,,,,,"रवीश कुमार की यह किताब ‘बोलना ही है’ इस बात की पड़ताल करती है कि भारत में अभिव्यक्ति की स्वतंत्रता किस-किस रूप में बाधित हुई है, परस्पर सम्वाद और सार्थक बहस की गुंजाइश कैसे कम हुई है और इससे देश में नफ़रत और असहिष्णुता को कैसे बढ़ावा मिला है। कैसे जनता के चुने हुए प्रतिनिधि, मीडिया और अन्य संस्थान एक मजबूत लोकतंत्र के रूप में हमें विफल कर रहे हैं। इन स्थितियों से उबरने की राह खोजती यह किताब हमारे वर्तमान समय का वह दस्तावेज है जो स्वस्थ लोकतंत्र के हर हिमायती के लिए संग्रहणीय है. हिंदी में आने से पहले ही यह किताब अंग्रेजी, मराठी और कन्नड़ में प्रकाशित हो चुकी है. • ‘Ravish Kumar ‘s book, The Free Voice — On Democracy, Culture and the Nation, highlights the state of the nation, investigating the threat to free expression and how the fear of institutional, physical and psychological violence is being used to replace debate, dialogue and social harmony, infusing instead intolerance and hate.’—The Tribune • ‘[A] mirror of our times.’—The Hindu",,,,,,,,,,,215,,,,,250 ₹,English,,,,,,9789388933612,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:58:28.099553942,,,,,,,aQvQDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/2C7E5B93-AD79-479A-8FCC-A4AAC6FC04DF,
"Bolna Hi Hai : Loktantra, Sanskriti Aur Rashtra Ke Bare Mein",,"Lokatantra, saṃskr̥ti aura rāshṭra ke bāre meṃ",,,Ravish Kumar,"Kumar, Ravish",,,,,,Rajkamal Prakashan,,2020/02/01,2020,,,,,"रवीश कुमार की यह किताब ‘बोलना ही है’ इस बात की पड़ताल करती है कि भारत में अभिव्यक्ति की स्वतंत्रता किस-किस रूप में बाधित हुई है, परस्पर सम्वाद और सार्थक बहस की गुंजाइश कैसे कम हुई है और इससे देश में नफ़रत और असहिष्णुता को कैसे बढ़ावा मिला है। कैसे जनता के चुने हुए प्रतिनिधि, मीडिया और अन्य संस्थान एक मजबूत लोकतंत्र के रूप में हमें विफल कर रहे हैं। इन स्थितियों से उबरने की राह खोजती यह किताब हमारे वर्तमान समय का वह दस्तावेज है जो स्वस्थ लोकतंत्र के हर हिमायती के लिए संग्रहणीय है. हिंदी में आने से पहले ही यह किताब अंग्रेजी, मराठी और कन्नड़ में प्रकाशित हो चुकी है. • ‘Ravish Kumar ‘s book, The Free Voice — On Democracy, Culture and the Nation, highlights the state of the nation, investigating the threat to free expression and how the fear of institutional, physical and psychological violence is being used to replace debate, dialogue and social harmony, infusing instead intolerance and hate.’—The Tribune • ‘[A] mirror of our times.’—The Hindu",,,,,,,,,,,215,,,,,250 ₹,English,,,,,,9789388933612,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:59:11.144559025,,,,,,,aQvQDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/E2211B39-909C-4813-9A9F-DE9C2051C637,
"Bolna Hi Hai : Loktantra, Sanskriti Aur Rashtra Ke Bare Mein",,"Lokatantra, saṃskr̥ti aura rāshṭra ke bāre meṃ",,,Ravish Kumar,"Kumar, Ravish",,,,,,Rajkamal Prakashan,,2020/02/01,2020,,,,,"रवीश कुमार की यह किताब ‘बोलना ही है’ इस बात की पड़ताल करती है कि भारत में अभिव्यक्ति की स्वतंत्रता किस-किस रूप में बाधित हुई है, परस्पर सम्वाद और सार्थक बहस की गुंजाइश कैसे कम हुई है और इससे देश में नफ़रत और असहिष्णुता को कैसे बढ़ावा मिला है। कैसे जनता के चुने हुए प्रतिनिधि, मीडिया और अन्य संस्थान एक मजबूत लोकतंत्र के रूप में हमें विफल कर रहे हैं। इन स्थितियों से उबरने की राह खोजती यह किताब हमारे वर्तमान समय का वह दस्तावेज है जो स्वस्थ लोकतंत्र के हर हिमायती के लिए संग्रहणीय है. हिंदी में आने से पहले ही यह किताब अंग्रेजी, मराठी और कन्नड़ में प्रकाशित हो चुकी है. • ‘Ravish Kumar ‘s book, The Free Voice — On Democracy, Culture and the Nation, highlights the state of the nation, investigating the threat to free expression and how the fear of institutional, physical and psychological violence is being used to replace debate, dialogue and social harmony, infusing instead intolerance and hate.’—The Tribune • ‘[A] mirror of our times.’—The Hindu",,,,,,,,,,,215,,,,,250 ₹,English,,,,,,9789388933612,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 18:01:11.056440949,,,,,,,aQvQDwAAQBAJ,Hindi,0,0,,https://universalbooksellers.com/wp-content/uploads/2019/11/9789388933612.jpg,
Dimāgī gulāmī,,,,,Rāhula Sāṅkṛtyāyana,"Sāṅkṛtyāyana, Rāhula",,,,,,Kitāb Mahal,,,2006,,,,,,,,,,,,,,,,80,,,,,40 ₹,Hindi,,,,sa 67003216,,9788122500752,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:34:53.646232962,,,,,,,h_BwygAACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/8461AAAB-6FCA-4303-A232-02C3D2129E70,
Kañjūsa,,,,,Hazarata Āvārā,"Āvārā, Hazarata",,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,195 ₹,,,,,,,9788181435347,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:32:51.734294056,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/49CE4BC5-691A-46FD-8B5E-CA091F74F320,
Pratinidhi kahāniyām̐,,,,,1936 Jñānarañjana,"Jñānarañjana, 1936",,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,195 ₹,,,,,,,9788126714483,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:33:46.607746958,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126714484.01Z.jpg,
Pratinidhi kahāniyām̐,,,,,Aruṇa Prakāśa Ḍhauṇḍiyāla,"Ḍhauṇḍiyāla, Aruṇa Prakāśa",,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,195 ₹,,,,,,,9788126730742,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 18:11:53.412762045,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126730749.01Z.jpg,
Pratinidhi kahāniyām̐,,,,,Hr̥shīkeśa Sulabha,"Sulabha, Hr̥shīkeśa",,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,195 ₹,,,,,,,9788126730827,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 18:12:19.296591997,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/812673082X.01Z.jpg,
