Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Jhini-Jhini Bini Chadariya,,,,,Abdul Bismillah,"Bismillah, Abdul",,,,,,Rajkamal Prakashan,,2008/09/01,2008,,,,,"बिरासत अगर संघर्ष की हो तो उसे अगली पीढ़ी को सौंप देने की कला सिखाता है - अब्दुल बिस्मिल्लाह का उपन्यास - ‘झीनी झीनी बीनी चदरिया’। इस उपन्यास को लिखने से पहले दस वर्षों तक अब्दुल बिस्मिल्लाह ने बनारस के बुनकरों के बीच रहकर उनके जीवन का अध्ययन किया, जिसके कारण इस उपन्यास में बुनकरों की हँसी-खुशी, दुख-दर्द, हसरत-उम्मीद, जद्दोजहद और संघर्ष...यानी सब कुछ सच के समक्ष खड़ा हो जाता है आईना बनकर - यही इस उपन्यास की विशेषता है।  बनारस के बुनकरों की व्यथा-कथा कहनेवाला यह उपन्यास न केवल सतत् संघर्ष की प्रेरणा देता है बल्कि यह नसीहत भी देता है कि जो संघर्ष अंजाम तक नहीं पहुँच पाए उसकी युयुत्सा से स्वर को आनेवाली पीढ़ी तक जाने दो। इस प्रक्रिया में लेखक ने शोषण के पूरे तंत्र को बड़ी बारीकी से उकेरा है, बेनकाब किया है। भ्रष्ट राजनीतिक हथकंडों और बेअसर कल्याणकारी योजनाओं का जैसा खुलासा ‘झीनी झीनी बीनी चदरिया’ की शब्द-योजना में नहीं, बल्कि अभिव्यक्ति की कलात्मकता में है जिसके फलस्वरूप इसके पात्र रऊफ चचा, नजबुनिया, नसीबुन बुआ, रेहाना, कमरुन, लतीफ, बशीर और अल्ताफ़ उपन्यास की पंक्तियों में जीवन्त हो उठते हैं और उनका संघर्ष बरबस पाठकों की संवेदना बटोर लेता है। वस्तुतः इस उपन्यासक के माध्यम से हम जिस लोकोन्मुख सामाजिक यथार्थ के रू-ब-रू होते हैं, जिस परिवेश की जीवन्त उपस्थिति से गुज़रते हैं, उसका रचनात्मक महत्त्व होने के साथ ही ऐतिहासिक महत्त्व भी है।",,,,,,,,,,,208,,,,,199 INR,Hindi,,,,,,9788171786695,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:34:20.274785995,,,,,,,Z9ooeZKd34oC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/3B804365-63E5-4344-8B35-4D3896A7377B,
Kachchi Dhoop,,,,,"Vijay Tendulkar   , Translated by Murlidhar Jagtap","Tendulkar, Vijay",,,,,,Vani Prakashan,,2018/09/01,2018,,,,Literary Collections,‘कच्ची धूप’ महाराष्ट्र टाइम्स में प्रारम्भ किया गया यह स्तम्भ बहुत ही लोकप्रिय हुआ। पाठकों ने इन लेखों का हृदय से स्वागत किया। विजय तेंडुलकर की अन्तर्दृष्टि अत्यधिक तीव्र है वह नित्य-प्रति जीवन के समक्ष घटने वाली सामान्य घटनाओं की अभिव्यक्ति इतनी सहजता और मार्मिकता से करते हैं कि पाठक मन्त्रमुग्ध सा हुआ उन्हें आसपास घटित होता हुआ सा महसूस करता है। इन लेखों का हृदयग्राही रसास्वादन ‘कच्ची धूप’ पुस्तक के माध्यम से किया जा सकता है।,,,,,,,,,,,128,,,,,250 INR,Hindi,,,,,,9789387409255,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:41:28.058735966,,,,,,,dDpvDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/74344CBE-9A92-4908-80C2-06370B04747A,
Kachchi Dhoop,,,,,"Vijay Tendulkar   , Translated by Murlidhar Jagtap","Tendulkar, Vijay",,,,,,Vani Prakashan,,2018/09/01,2018,,,,Literary Collections,‘कच्ची धूप’ महाराष्ट्र टाइम्स में प्रारम्भ किया गया यह स्तम्भ बहुत ही लोकप्रिय हुआ। पाठकों ने इन लेखों का हृदय से स्वागत किया। विजय तेंडुलकर की अन्तर्दृष्टि अत्यधिक तीव्र है वह नित्य-प्रति जीवन के समक्ष घटने वाली सामान्य घटनाओं की अभिव्यक्ति इतनी सहजता और मार्मिकता से करते हैं कि पाठक मन्त्रमुग्ध सा हुआ उन्हें आसपास घटित होता हुआ सा महसूस करता है। इन लेखों का हृदयग्राही रसास्वादन ‘कच्ची धूप’ पुस्तक के माध्यम से किया जा सकता है।,,,,,,,,,,,128,,,,,250 INR,Hindi,,,,,,9789387409255,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:36:28.598212957,,,,,,,dDpvDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/DB54E00D-52FA-413F-81AA-9B93B49DB462,
Nibandhoṃ kī duniyā,,Nirālā,,,Sūryakānta Tripāṭhī,"Tripāṭhī, Sūryakānta",,,,,,Vani Prakashan,,,2009,,,,,Selected essays of a Hindi author.,,,,,,,,,,,215,,,,,95 ₹,Hindi,,,,,,9789350000519,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:43:53.783148050,,,,,,,5aFcWeYKN2sC,Hindi,0,0,,,
Ve dina,,,,,Nirmal Verma,"Verma, Nirmal",,,,,,Rājakamala Prakāsana,,,2005,,,,,,,,,,,,,,,,211,,,,,225 ₹,Hindi,,,,,,9788126704736,0,2.500000,,Unread,,,,,,,,0,,,,2020/07/24 16:43:11.015089988,,,,,,,xrtY2QjPD54C,Hindi,0,0,,,
