Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Agnigarbha,,,,,Amritlal Nagar,"Nagar, Amritlal",,,,,,Rajpal & Sons,,,2013,,,,,Social novel.,,,,,,,,,,,144,,,,,200 ₹,Hindi,,,,,,9788170285571,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:41:55.596977949,,,,,,,5nqFf5RtMr8C,Hindi,0,0,,,
Bāteṃ-Mulāqāteṃ,,ātmaparaka-sāhityaparaka,,,Manohara Śyāma Jośī,"Jośī, Manohara Śyāma",,,,,,Vāṇī Prakāśana,,,2014,,,,Interviews,,,,,,,,,,,,183,,,,,395 ₹,Hindi,,,,2014361530,,9789350726952,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:38:48.271553993,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350726955.01Z.jpg,
Bhaya Kabeer Udas,,,,,Usha Priyamvada,"Priyamvada, Usha",,,,,,Rajkamal Prakashan,,2007/09/01,2007,,,,,"यह महज़ इत्तिफाक है या फिर उत्तराधिकार? नानी बहुत कम आयु में मर गई थीं, सुना था कि उनकी छाती मंे फोड़ा था, कभी किसी को बताया ही नहीं। यदि बताया भी होगा तो मालूम नहीं क्या उपचार हुआ होगा? अन्त समय में लोग उनके पास जाने तक से कतराते थे। मरी हुई मछली जैसी गन्ध आने लगी थी उनकी देह से। ‘‘कैन्सर!’’ डॉक्टर स्टीेवन ने सुनते ही कहा तुम्हारी नानी को अवश्य ही कैन्सर रहा होगा। यदि ट्यूमर निकाला न जाए तो वह अन्दर ही अन्दर ऐसे ही बढ़ता रहता है, जब फूटता है तो पूरे शरीर में उसका ज़हर फैल जाता है। बहुत भयंकर, पीड़ा भरी मौत होती है।’’ उसकी कल्पना मात्र से ही मेरे रोंगटे खड़े हो जाते हैं, डाक्टर स्टीवेन मेरे कंधे पर हलके से हाथ रखते हुए कहते हैं, ‘‘पर तुम फिक्र न करो हम लोग यहाँ हैं तुम्हारे लिए इस रणस्थली में हम साथ-साथ हैं मिलकर इस शत्रु को परास्त करने में सफल होंगे।’’ ‘‘वादा?’’ वह आश्वस्त भाव से मुस्करा दिए - ‘‘वादा’’ उन्होंने दोहराया।",,,,,,,,,,,183,,,,,150 INR,Hindi,,,,,,9788126713875,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:39:55.510157942,,,,,,,0aFgBndcmqAC,Hindi,0,0,,,
Khuda Ki Kasam,,,,,Saadat Hasan Manto,"Manto, Saadat Hasan",,,,,,Vani Prakashan,,2012/01/07,2012,,,,Literary Criticism,Stories based on social themes.,,,,,,,,,,,82,,,,,200 INR,Hindi,,,,,,9789350722947,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:45:29.688266992,,,,,,,O8AjDwAAQBAJ,Hindi,0,0,,,
Khuda Ki Kasam,,,,,Saadat Hasan Manto,"Manto, Saadat Hasan",,,,,,Vani Prakashan,,2012/01/07,2012,,,,Literary Criticism,Stories based on social themes.,,,,,,,,,,,82,,,,,200 INR,Hindi,,,,,,9789350722947,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:43:38.348238945,,,,,,,O8AjDwAAQBAJ,Hindi,0,0,,,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,125 ₹,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:47:43.131993055,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,165 ₹,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:46:40.259655952,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,
Merī priya kahāniyāṃ,,,,,Phaṇīśvaranātha Reṇu,"Reṇu, Phaṇīśvaranātha",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,,185 ₹,Hindi,,,,,,9789350640548,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:48:07.446863055,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640546.01Z.jpg,
Merī priya kahāniyāṃ,,,,,Bhagavatī Caraṇa Varmā,"Varmā, Bhagavatī Caraṇa",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,,165 ₹,Hindi,,,,,,9789350640463,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:47:14.991875052,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640465.01Z.jpg,
Samudra ki lehron mein.,,,,,Khushwant Singh,"Singh, Khushwant",,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,195 ₹,Hindi,,,,,,9789350641132,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 13:40:20.877393960,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350641135.01Z.jpg,
