Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Ādhunika kahānī,,Slovākiyā,,,Amrut Meheta,"Meheta, Amrut",,,,,,Vāṇī Prakāśana,,,2013,,,,,,,,,,,,,,,,104,,,,,250 ₹,,,,,,,9789350008348,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:25:57.036087989,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/4E24A358-7D85-4079-A8C5-F2D2FAB150D0,
Dimāgī gulāmī,,,,,Rāhula Sāṅkṛtyāyana,"Sāṅkṛtyāyana, Rāhula",,,,,,Kitāb Mahal,,,2006,,,,,,,,,,,,,,,,80,,,,,40 ₹,Hindi,,,,sa 67003216,,9788122500752,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:34:53.646232962,,,,,,,h_BwygAACAAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/8461AAAB-6FCA-4303-A232-02C3D2129E70,
Kañjūsa,,,,,Hazarata Āvārā,"Āvārā, Hazarata",,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,195 ₹,,,,,,,9788181435347,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:32:51.734294056,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/49CE4BC5-691A-46FD-8B5E-CA091F74F320,
Pratinidhi kahāniyām̐,,,,,1936 Jñānarañjana,"Jñānarañjana, 1936",,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,195 ₹,,,,,,,9788126714483,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:33:46.607746958,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126714484.01Z.jpg,
Śahazāda Dārāśikoha,,dahaśata kā daṃśa,,,Śatrughna Prasāda,"Prasāda, Śatrughna",,,,,,Vāṇī Prakāśana,,,2015,,,,,"Based on the life of Dārā Shikūh, Prince, son of Shahjahan, Emperor of India, 1615-1659.",,,,,,,,,,,291,,,,,495 ₹,Hindi,,,,,,9789350726334,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:28:25.297546982,,,,,,,_e_hvgEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350726335.01Z.jpg,
Sāhitya aura samāja,,,,,Vijayadānna Dethā,"Dethā, Vijayadānna",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,148,,,,,395 ₹,,,,,,,9789350722411,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:31:01.921769976,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350722410.01Z.jpg,
Saṅkshiptanāṭyaśāstram,,,,,Bharata Muni,"Muni, Bharata",,,,,,Vani Prakashan,,,2009,,,,,"Abridged version of Nāṭyaśāstra, a treatise on ancient Indian dramaturgy, histrionics, and dance.",,,,,,,,,,,291,,,,,450 ₹,Hindi,,,,,,9788181439116,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:33:26.272485017,,,,,,,NzW2RQNwh1kC,Hindi,0,0,,,
Shreshtha Vyangya Kathayen,,,,,Kanhaiya Lal Nandan,"Nandan, Kanhaiya Lal",,,,,,Rajpal & Sons,,,2013,,,,,Selected humorous and satirical stories by various Hindi authors.,,,,,,,,,,,216,,,,,260 ₹,Hindi,,,,,,9788170282242,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:26:49.308882951,,,,,,,bnSq5gojbUIC,Hindi,0,0,,,
Tibbata meṃ Bauddha dharma,,,,,Rāhula Sāṅkṛtyāyana,"Sāṅkṛtyāyana, Rāhula",,,,,,Kitāba Mahala,,,2014,,,,,,,,,,,,,,,,71,,,,,45 ₹,,,,,,,9788122503258,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 17:35:40.649219036,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/9F99DA97-60BA-442C-A6DC-BE362E093D64,
