Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Parajay / Aleksander Fadeyev,,Rūsī upanyāsa,,,Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,2010,,,,,Novel based on revolutionary themes.,,,,,,,,,,,314,,,,,150 ₹,Hindi,,,,,,9789350001639,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:41:07.029343962,,,,,,,82cBAmvpvjUC,Hindi,0,0,,,
Prārthanā Ke Bāhara Aura Anya Kahāniyām̐,,,,,Gītāśrī,Gītāśrī,,,,,,Vāṇī Prakāśana,,,2013,,,,,,,,,,,,,,,,148,,,,,125 ₹,,,,PK2098.22.I83 P73 2013,2014346953,,9789350723999,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:34:44.512884974,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/ED59C274-75DD-44AB-BA16-1112693C727A,
Prārthanā Ke Bāhara Aura Anya Kahāniyām̐,,,,,Gītāśrī,Gītāśrī,,,,,,Vāṇī Prakāśana,,,2013,,,,,,,,,,,,,,,,148,,,,,125 ₹,,,,PK2098.22.I83 P73 2013,2014346953,,9789350723999,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:35:38.190976023,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/3BC1ADFE-94EC-44A5-A094-AD59CE4F0FC4,
Premacanda kī zabtaśudā kahāniyām̐,,,,,Munshi Premchand,"Premchand, Munshi",,,,,,Manu Prakāśana,,,2000,,,,"Children's stories, Hindi",,,,,,,,,,,,175,,,,,100 ₹,,,,PK2098.S7 A6 1999,99946964,,9788186265390,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:30:52.833981990,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/434C2AC2-5656-4C7F-A591-20C8FDE328BD,
Raṅgabhūmi,,,,,1881-1936 Premacanda,"Premacanda, 1881-1936",,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,795 ₹,,,,,,,9789350000830,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:15:39.465320944,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/9E78881B-2B72-401F-87E9-03BB77797080,
Raskapur,,,,,Anand Sharma,"Sharma, Anand",,,,,,Rajkamal Prakashan,,2004/01/01,2004,,,,,"""इतिहास कथा-लेखन के दौरान इतिहास में साहसी-सामर्थ्यवान नारियों का अभाव मुझे रह-रहकर सालता था ! एक प्रश्न हर बार उठता था कि मीराबाई, पन्नाधाय, हाडीरानी, कर्मवती आदि अँगुलियों पर गिनी जानेवाली नारियों के बाद, राजस्थान की उर्वरा भूमि बाँझ क्यों हो गई ?"" इस दिशा में खोज आरम्भ करने के चमत्कारी परिणाम निकले ! एक-दो नहीं, दो दर्जन से भी अधिक नारी पात्र, इतिहास की गर्द झाड़ते मेरे सम्मुख जीवित हो उठे ! ""एक तवायफ के प्रेम में अनुरक्त हो, उसे जयपुर का आधा राज्य दे डालने वाले महाराजा जगतसिंह की इतिहासकारों ने भरपूर भर्त्सना की थी लेकिन वस्त्रों की तरह स्त्रियाँ बदलनेवाले अति कामुक महाराज का, एक हीन कुल की स्त्री में अनुरक्ति का ऐसा उफान, जो उसे पटरानी-महारानियों से पृथक, महल 'रसविलास' के साथ जयपुर का आधा राज्य प्रदान कर, अपने समान स्तर पर ला बैठाए, मात्र वासना का परिणाम नहीं हो सकता !"" उपन्यास होते हुए भी रसकपूर अस्सी प्रतिशत इतिहास है, उपन्यास के सौ के लगभग पात्रों में केवल पांच-सात नाम ही काल्पनिक हैं !",,,,,,,,,,,380,,,,,125 INR,Hindi,,,,,,9788126702923,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:11:03.462800025,,,,,,,XrwID3I-ilEC,Hindi,0,0,,,
Śabda aura karma,,,,,Mainejara Pāṇḍeya,"Pāṇḍeya, Mainejara",,,,,,Vāṇī Prakāśana,,,1997,,,,,,,,,,,,,,,,,,,,,595 ₹,,,,,,,9788170555438,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:28:06.206367969,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/E02A330A-3741-49D5-84C6-5C4B2BDED395,
Saiyām̐ beīmāna,,Mūla Bāṅglā nāṭaka dampati kā Hindī anuvāda,,,Manoja Mitra,"Mitra, Manoja",,,,,,Vāṇī Prakāśana,,,2012,,,,,,,,,,,,,,,,71,,,,,125 ₹,,,,,,,9789350008904,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:22:07.809137940,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/E5823E50-1B3B-413F-B1C8-BE3A4FB3507B,
Saiyām̐ beīmāna,,Mūla Bāṅglā nāṭaka dampati kā Hindī anuvāda,,,Manoja Mitra,"Mitra, Manoja",,,,,,Vāṇī Prakāśana,,,2012,,,,,,,,,,,,,,,,71,,,,,125 ₹,,,,,,,9789350008904,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:22:43.094982028,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/7890D33D-D055-4C3B-B5D9-9CF467366593,
Saiyām̐ beīmāna,,Mūla Bāṅglā nāṭaka dampati kā Hindī anuvāda,,,Manoja Mitra,"Mitra, Manoja",,,,,,Vāṇī Prakāśana,,,2012,,,,,,,,,,,,,,,,71,,,,,125 ₹,,,,,,,9789350008904,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:23:18.463235020,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/862AD75A-5699-410E-AB5E-5BBB1ED99B75,
Shikayat Mujhe Bhi Hai,,,,,Harishankar Parsai,"Parsai, Harishankar",,,,,,Rajkamal Prakashan,,2009/09/01,2009,,,,,"शिकायत मुझे भी है' में हरिशंकर परसाई के लगभग दो दर्जन निबन्ध संगृहीत हैं और इनमें से हर निबन्ध आज की वास्तविकता के किसी न किसी पक्ष पर चुटीला व्यंग्य करता है । परसाई के लेखन की यह विशेषता है कि वे केवल विनोद या परिहास के लिए नहीं लिखते । उनका सारा लेखन सोद्देश्य है और सभी रचनाओं के पीछे एक साफ–सुलझी हुई वैज्ञानिक जीवनदृष्टि है, जो समाज में फैले हुए भ्रष्टाचार, ढोंग, अवसरवादिता, अन्धविश्वास, साम्प्रदायिकता आदि कुप्रवृत्तियों पर तेज रोशनी डालने के लिए हर समय सतर्क रहती है । कहने का ढंग चाहे जितना हल्का–फुल्का हो, किन्तु हर निबन्ध आज की जटिल परिस्थितियों को समझने के लिए एक अन्तर्दृष्टि प्रदान करता है । इसलिए जो आज की सचाई को जानने में रुचि रखते हैं, उनके लिए यह पुस्तक संग्रहणीय है ।",,,,,,,,,,,143,,,,,150 INR,Hindi,,,,,,9788126708604,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:17:07.551134943,,,,,,,Ry5INXWaDTkC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/AC7E0588-94B0-409F-98E0-62464F021B2B,
Shikayat Mujhe Bhi Hai,,,,,Harishankar Parsai,"Parsai, Harishankar",,,,,,Rajkamal Prakashan,,2009/09/01,2009,,,,,"शिकायत मुझे भी है' में हरिशंकर परसाई के लगभग दो दर्जन निबन्ध संगृहीत हैं और इनमें से हर निबन्ध आज की वास्तविकता के किसी न किसी पक्ष पर चुटीला व्यंग्य करता है । परसाई के लेखन की यह विशेषता है कि वे केवल विनोद या परिहास के लिए नहीं लिखते । उनका सारा लेखन सोद्देश्य है और सभी रचनाओं के पीछे एक साफ–सुलझी हुई वैज्ञानिक जीवनदृष्टि है, जो समाज में फैले हुए भ्रष्टाचार, ढोंग, अवसरवादिता, अन्धविश्वास, साम्प्रदायिकता आदि कुप्रवृत्तियों पर तेज रोशनी डालने के लिए हर समय सतर्क रहती है । कहने का ढंग चाहे जितना हल्का–फुल्का हो, किन्तु हर निबन्ध आज की जटिल परिस्थितियों को समझने के लिए एक अन्तर्दृष्टि प्रदान करता है । इसलिए जो आज की सचाई को जानने में रुचि रखते हैं, उनके लिए यह पुस्तक संग्रहणीय है ।",,,,,,,,,,,143,,,,,150 INR,Hindi,,,,,,9788126708604,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:18:46.660112023,,,,,,,Ry5INXWaDTkC,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CAEC637F-C200-4DED-84E4-001FEE5D98B9,
Simant Katha,,20vīṃ sadī ke uttarārddha meṃ Bihāra ke jaṅgalarāja kī kahānī,,,Ushakiran Khan,"Khan, Ushakiran",,,,,,Vani Prakashan,,2020/02/16,2020,,,,Comics & Graphic Novels,"'सीमान्त कथा' उपन्यास के केन्द्र में हैं, सपनों से भरे दो तरुण वाणीधर और विधुभाल। दो भिन्न माध्यमों से समाज में परिवर्तन के आकांक्षी किन्तु समकालीन राजनीति की जटिलताएँ, राजनीति का अपराधीकरण तथा अपराध की राजनीति इन सभी प्रतिकूल परिस्थितियों से जूझते युवकों के जीवन का असमय तथा त्रासद अन्त होता है, जैसे भरी दोपहर में सूर्यास्त। विभिन्न जनान्दोलनों, जातीय संघर्षों तथा नरसंहारों की भूमि बिहार से उपजी यह कथा न केवल हमें उद्वेलित करती है बल्कि वामपन्थी राजनीति के खोखलेपन को भी उजागर करती है। 'सीमान्त कथा' केवल एक उपन्यास नहीं बल्कि 1974 के बिहार आन्दोलन के बाद के सबसे नाजुक दौर का जीवन्त दस्तावेज़ भी है। जातीय वैमनस्य की आग में धधकते इस प्रदेश में अमानवीय घृणा, क्रूर हिंसा तथा इन सबका पोषण करने वाली शासन व्यवस्था इनके बीच दो युवकों की परिवर्तनकामी इच्छाएँ, उनका उत्कट प्रेम उपन्यास में अपने पूरे तीखेपन के साथ उभरकर आता है। उपन्यास की लेखिका उषाकिरण खान ने बड़ी शिद्दत से इन जटिलताओं को अपनी प्रभावपूर्ण कथा-शैली में बाँधा है। अनेक स्थलों पर आंचलिक शब्दों के प्रयोग से कथा-प्रवाह में तीव्रता आयी है। सन् 2000 तक बिहार का परिदृश्य पारस्परिक द्रोह, ख़ून-ख़राबे का था। ऐसे समय बिहार के नौनिहाल हिंसा के शिकार हो रहे। ऐसे समय लेखक का उद्वेलित होना स्वाभाविक था।",,,,,,,,,,,184,,,,,399 INR,Hindi,,,,,,9789389563818,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:45:19.672502994,,,,,,,j9DQDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/7D81A1D1-32DA-4495-9C65-A974DD5CDC75,
Tīna Sau Tīsa Kahāvatī Kahāniyām̐,,,,,Vijayadānna Dethā,"Dethā, Vijayadānna",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,472,,,,,695 ₹,,,,PK2077 .T56 2014,2014361526,,9789350009031,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:29:54.563668012,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/8E013CD0-8CB9-48E6-8665-1C5F9EAD39FC,
