Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Kanailā kī kathā,,,,,Rāhul Sāṅkṛtyāyana,"Sāṅkṛtyāyana, Rāhul",,,,,,Kitāb Mahal,,,1998,,,,,,,,,,,,,,,,,,,,,50 ₹,,,,,,,9788122500806,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:10:10.158774971,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/08474CB9-5FAC-4EE0-88D2-23111FA00FB1,
Kapālakuṇḍalā,,,,,Baṅkimacandra Caṭṭopādhyāẏa,"Caṭṭopādhyāẏa, Baṅkimacandra",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,102,,,,,300 ₹,,,,,,,9789350726556,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:36:55.950122952,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/BA815346-F906-4192-9ADF-2EC91B3B781D,
Kauṭilya arthaśāstra,,"Cāṇakya-racita prasiddha grantha ""arthaśāstra"" kā saṃkṣipta hindī rūpāṃtara",,,Kauṭilya.,Kauṭilya.,,,,,,Rājapāla,,,2001,,,,,,,,,,,,,,,,,,,,,140 ₹,,,,,,,9788170282105,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:22:53.624812006,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170282101.01Z.jpg,
Kauṭilya arthaśāstra,,"Cāṇakya-racita prasiddha grantha ""arthaśāstra"" kā saṃkṣipta hindī rūpāṃtara",,,Kauṭilya.,Kauṭilya.,,,,,,Rājapāla,,,2001,,,,,,,,,,,,,,,,,,,,,140 ₹,,,,,,,9788170282105,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:23:19.027536988,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170282101.01Z.jpg,
Madhukara Saha,,Bundelakhanda ka nayaka,,,Govind Namdev,"Namdev, Govind",,,,,,Rajakamala Prakasana,,,2018,,,,,,,,,,,,,,,,127,,,,,295 ₹,Hindi,,,,2020326372,,9789387462465,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:43:57.972386002,,,,,,,td1UzQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9387462463.01Z.jpg,
Mahabhoj-Natak,,,,,Mannu Bhandari,"Bhandari, Mannu",,,,,,Rajkamal Prakashan,,2008/01/01,2008,,,,,"मन्नू भंडारी को इसका श्रेय जाना चाहिए कि उन्होंने अतिपरिचित परिस्थितियों के, इतने व्यापक फलक को, बिना किसी प्रचलित मुहावरे का शिकार हुए, समेट लिया है | इसी नाम से उनके चर्चित उपन्यास का यह नौ-दृश्यीय नट्यान्तरण अत्यंत यथार्थपरक और तर्कसंगत है | इस नाटक में हम समाज में सक्रिय अनेक ताकतों और गरीबों के जीवन पर उनके प्रभाव की परिणतियों को दृश्य-दर-दृश्य खुलते देखते हैं ...(मोहन) राकेश के बाद पहली बार हम इस नाटक में सुगठित संवादों का श्रवण-सुख भी पाते हैं | - राजेंद्र पॉल, 'महाभोज' सामाजिक यथार्थ का रूखा अंकन मात्र नहीं है, यह बहुत सोचे-समझे, रचनात्मक डिज़ाइन की उत्पत्ति है, साथ ही बहुत सघन भी | इस नाटक को उन राजनितिक नाट्य-रचनाओं में गिना जाएगा जो सिर्फ दर्शकों की भावनाओं और आक्रोश का दोहन मात्र नहीं करतीं, बल्कि यथार्थ की क्रूर और विचलित करने वाली छवि के शक्तिशाली प्रक्षेपण के द्वारा दर्शक की नैतिक संवेदना को चुनौती देती हैं और उन्हें अपने विवेक की खोज में प्रवृत्त करती हैं | - अग्नेश्का सोनी और सबसे ज्यादा यह उपन्यास/नाटक मन्नू भंडारी की संवेदनशील जागरूकता की एक दें है और नाटककारों की श्रेणी में उनके चिर-अभिपिसत आगमन का प्रमाण भी | - कविता नागपाल",,,,,,,,,,,111,,,,,300 INR,Hindi,,,,,,9788171196463,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:41:47.469061017,,,,,,,Uucu7XLHDqgC,Hindi,0,0,,,
Matsyagandhā,,,,,Narendra Kohli,"Kohli, Narendra",,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,175 ₹,,,,,,,9789350727362,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:43:23.686334013,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/25199319-7010-44E5-9E8D-EB6223BA1B4A,
Matsyagandhā,,,,,Narendra Kohli,"Kohli, Narendra",,,,,,Vani Prakashan,,,2011,,,,Comics & Graphic Novels,,,,,,,,,,,,160,,,,,125 INR,Hindi,,,PK2098.26.O35,2012338847,,9789350007792,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:38:19.790133953,,,,,,,MXYkDwAAQBAJ,Hindi,0,0,,,
Matsyagandhā,,,,,Narendra Kohli,"Kohli, Narendra",,,,,,Vani Prakashan,,,2011,,,,Comics & Graphic Novels,,,,,,,,,,,,160,,,,,125 INR,Hindi,,,PK2098.26.O35,2012338847,,9789350007792,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 17:40:33.459727048,,,,,,,MXYkDwAAQBAJ,Hindi,0,0,,,
Merī priya kahāniyām̐,,,,,Pratibhā Rāẏa,"Rāẏa, Pratibhā",,,,,,Rājapāla eṇḍa Sanza,,,2011,,,,,,,,,,,,,,,,143,,,,,150 ₹,,,,,,,9788170289579,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:39:30.392940044,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289572.01Z.jpg,
Merī priya kahāniyāṃ,,,,,Mannu Bhandari,"Bhandari, Mannu",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,,165 ₹,,,,,,,9789350640609,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:38:42.022039055,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640600.01Z.jpg,
Merī priya kahāniyāṃ,,,,,Kāśīnātha Siṃha,"Siṃha, Kāśīnātha",,,,,,Rājapāla eṇḍ Sanz,,,2013,,,,,,,,,,,,,,,,,,,,,165 ₹,,,,,,,9788170289159,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:40:39.214377045,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289157.01Z.jpg,
Merī priya kahāniyāṃ,,,,,Rajendra Yādav,"Yādav, Rajendra",,,,,,Rājapāla eṇḍ Sanz,,,2012,,,,,,,,,,,,,,,,,,,,,150 ₹,,,,,,,9789350640647,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 16:15:00.990939021,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350640643.01Z.jpg,
Navin ank jyotish.,,,,,Narayandatt Shrimali,"Shrimali, Narayandatt",,,,,,Hind Pocket Books,,,1993,,,,,,,,,,,,,,,,,,,,,125 ₹,,,,,,,9788121602716,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/21 15:39:58.876852989,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8121602718.01Z.jpg,
