Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Aadhunik Kahani : Arbistan,,Ādhunika kahānī,,,Amrit Mehta,"Mehta, Amrit",,,,,,Vani Prakashan,,2012/05/15,2012,,,,Literary Criticism,"प्रस्तुत किताब रूसी कहानियो का अनुवाद है। आधुनिक कहानी: रूस से एक कहानी का एक अंश, आधुनिक कहानी: अरबिस्तान ...फिर असली मँगनी का दिन आया, गश्बानियत का। बैठकों के साथ ईरानी डिजशइन वाला एक बड़ा तम्बू बाहर बाग तक लगाया गया था। उसके भीतर आदमियों, शादीशुदा औरतों और लड़कियों के बैठने की अलग-अलग जगहें बनायी गयी थीं। क्योंकि शादीशुदा औरतों की बातें, अक्सर बहुत अश्लील, जवान लड़कियों के सुनने लायक नहीं थीं। उधर यूरोप में विश्वयुद्ध और मध्य यूरोपीय ताकष्तों की आक्रामकता के लिए बत्तियाँ जलाकर कोई निशाना पेश न करने की जश्रूरत के बावजूद समारोह भव्य था। ऐसे मौकषें पर जवान लड़कियों की ख़ूबसूरती या बदसूरती को तोला जाता था और साथ ही उनके पिताओं का, समाज में रुतबा और दौलत। मेहमानों का दजर्श, खाना-पीना, डांसरों को दी गयी फीस और जोकरों की चर्चा एक लम्बे समय तक चलती रहती थी। गश्बानियत के बाद मैडम मार्कोस को हकष् था कि वह अपने मँगेतर के साथ घूमे-फिरे, अपनी पसन्द का फर्ष्नीचर, फषनूस और बर्तन लाये। मगर एक भाई का साथ होना जरुरी था",,,,,,,,,,,196,,,,,395 ₹,Hindi,,,,,,9789350008379,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:03:39.282665014,,,,,,,9GbFDgAAQBAJ,Hindi,0,0,,,
Ajaya: Paason ka Khel,,Duryodhan ki Mahabharat,,,Anand Neelakantan,"Neelakantan, Anand",,,,,,Manjul Publishing,,,2015,,,,Fiction,"This is the Hindi translation of AJAYA: ROLL OF THE DICE by Anand Neelkantan.It is a story based on one of greatest epics of India, The Mahabharata. But, while Jaya was the story about the victory of the Pandavas, Ajaya is the story from the invincible Kauravas point of view. The book is set in the backdrop of India's most powerful empire. A revolution is about to happen and Bhishma, finds himself struggling to maintain the unity of his empire. Dhritarashtra, is the reigning King with his foreignborn Queen, Gandhari. Kunti, the DowagerQueen, meanwhile waits in the background to see her firstborn son become the rightful ruler of the kingdom. The other key characters in the book are Eklavya, Karna, Parashurama, Balarama, Jara and Takshaka. Amidst, all the confusion and power struggle, Prince Suyodhana, the rightful heir to the throne stands tall, determined to claim the throne. Meanwhile, in the corridors of Hastinapur a plot to overthrow the present King and conquer India is brewing. Who ultimately gets to sit on the throne and be the most deserving King?",,,,,,,,,,,413,,,,,350 INR,Hindi,,,,,,9788183225328,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:04:56.292762041,,,,,,,6NYlDwAAQBAJ,Hindi,0,0,,,
Gurumukhasiṃha kī vasīyata aura anya kahāniyām̐,,,,,Saʻādat Ḥasan Manṭo,"Manṭo, Saʻādat Ḥasan",,,,,,Rājapāla eṇḍa Sanza,,,2019,,,,,,,,,,,,,,,,175,,,,,195 ₹,Hindi,,,,,,9789386534927,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:06:26.547765016,,,,,,,IR8CyAEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9386534924.01Z.jpg,
Kali salvaar aur anya kahaniyan,,,,,Saʻādat Ḥasan Manṭo,"Manṭo, Saʻādat Ḥasan",,,,,,,,,2016,,,,,,,,,,,,,,,,158,,,,,185 ₹,Hindi,,,,,,9789350643822,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:06:53.895184993,,,,,,,t8lPAQAACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350643820.01Z.jpg,
Merī priya kahāniyām̐,,,,,Upendranātha Aśka,"Aśka, Upendranātha",,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,165 ₹,Hindi,,,,,,9789350642306,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 14:07:34.763640046,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350642301.01Z.jpg,
