Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
"Maiṃ ""Baśīra"" hūm̐--",,Baśīra Badra kī tāzā nazmeṃ,,,Bashīr Badr,"Badr, Bashīr",,,,,,Vani Prakashan,,,2010,,,,,,,,,,,,,,,,167,,,,,250 ₹,Hindi,,,,2010346509,,9789350002469,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:20:14.293807029,,,,,,,pVOYrP0M1VwC,Hindi,0,0,,,
"Maiṃ ""Baśīra"" hūm̐--",,Baśīra Badra kī tāzā nazmeṃ,,,Bashīr Badr,"Badr, Bashīr",,,,,,Vani Prakashan,,,2010,,,,,,,,,,,,,,,,167,,,,,250 ₹,Hindi,,,,2010346509,,9789350002469,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:20:44.993507981,,,,,,,pVOYrP0M1VwC,Hindi,0,0,,,
Path Ka Geet,,,,,Rabindra Nath Tagore,"Tagore, Rabindra Nath",,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,116,,,,,99 ₹,Hindi,,,,,,9788170287674,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:22:44.548243999,,,,,,,may4iPZlI4oC,Hindi,0,0,,,
बच्चन की,,आत्मकथा. बसेरा से दूर नीड़ का निर्माण,,,बच्चन,बच्चन,,,,,,Rajpal & Sons,,,1996,,,,,Autobiography of Harivansh Rai Bachchan (Part 2),,,,,,,,,,,271,,,,,350 ₹,Hindi,,,,,,9788170281184,0,2.500000,,Unread,,,,,,,,0,,,,2020/07/26 13:27:06.728809952,,,,,,,WoWbfqiERXAC,Hindi,0,0,,,
बसेरा से दूर,,,,,बच्चन,बच्चन,,,,,,Rajpal & Sons,,,2000,,,,,Autobiography of Harivansh Rai Bachchan (Part 3),,,,,,,,,,,207,,,,,325 ₹,Hindi,,,,,,9788170282853,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:26:42.894894957,,,,,,,n2Co_rvD040C,Hindi,0,0,,,
Āsamāna se āge,,[g̲h̲azala saṅgraha],,,Rājeśa Reḍḍī,"Reḍḍī, Rājeśa",,,,,,Vani Prakashan,,,2009,,,,,Collection of ghazals.,,,,,,,,,,,130,,,,,200 ₹,Hindi,,,,2009306304,,9789350000243,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:34:36.132843017,,,,,,,nFHMiCNnqy8C,Hindi,0,0,,,
Auratien.,,,,,Khushwant Singh,"Singh, Khushwant",,,,,,,,,,,,,,,,,,,,,,,,,254,,,,,275 ₹,Hindi,,,,,,9788170289586,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 18:04:48.015570998,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8170289580.01Z.jpg,
Geetanjali,,,,,Ravindnath Taigore,"Taigore, Ravindnath",,,,,,Rajpal & Sons,,,2012,,,,,,,,,,,,,,,,134,,,,,150 ₹,Hindi,,,,,,9788170287698,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:23:13.697345018,,,,,,,GHQxVCVJZ74C,Hindi,0,0,,,
Gucchā,,,,,Gulazāra,Gulazāra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 ₹,Hindi,,,,,,9789352291564,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:27:46.141896009,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9352291565.01Z.jpg,
Gule-nag̲h̲amā,,Bhāratīya Jñānapīṭha puraskāra dvārā sammānita kr̥ti,,,Firāq Gorakhpūrī,"Gorakhpūrī, Firāq",,,,,,Lokabhāratī Prakāśana,,,2019,,,,,,,,,,,,,,,,280,,,,,195 ₹,Urdu,,,,,,9788180319938,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 13:29:16.684141993,,,,,,,YctazQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/8180319938.01Z.jpg,
