Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Subhānā aura anya kahāniyām̐,,,,,Satyavatī Mallika,"Mallika, Satyavatī",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,139,,,,,250 ₹,,,,,,,9789350726112,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:21:51.990759015,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350726114.01Z.jpg,
Raavi Paar [Paperback] Gulzar,,,,,Gulzar,Gulzar,,,,,,Rupa Publications India,,1999/01/01,1999,,,,,,,,,,,,,,,,184,,,,,295 ₹,,,,,99936884,,9788171673896,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:21:17.920601010,,,,,,,,Hindi,0,0,,https://covers.openlibrary.org/b/id/9369833-L.jpg,
Parīk̲h̲ānā,,,,,King of Oudh Wajid ʻAli Shah,"Wajid ʻAli Shah, King of Oudh",,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,225 ₹,,,,,2017352096,,9789350643907,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:22:24.174082040,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643901.01Z.jpg,
Āvārā masīhā,,,,,Vishnu Prabhakar,"Prabhakar, Vishnu",,,,,,Rajpal & Sons,,,2013,,,,,"Biography of a great Indian man of letters, Saradacandra Chatterji (ie., Saratcandra Cattopadhyaya).",,,,,,,,,,,354,,,,,365 ₹,Hindi,,,,,,9788170280040,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:23:09.610303997,,,,,,,CQ-z1kGSER4C,Hindi,0,0,,,
