Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Nācyau bahuta Gopāla,,,,,Amritlal Nagar,"Nagar, Amritlal",,,,,,Rajpal & Sons,,,2000,,,,,On the life of Mehatars community in India.,,,,,,,,,,,345,,,,,375 ₹,Hindi,,,,,,9788170280057,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:29:27.684687018,,,,,,,DH6AEMQLKLIC,Hindi,0,0,,,
Parīk̲h̲ānā,,,,,King of Oudh Wajid ʻAli Shah,"Wajid ʻAli Shah, King of Oudh",,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,225 ₹,,,,,2017352096,,9789350643907,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:30:11.120777010,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643901.01Z.jpg,
Parīk̲h̲ānā,,,,,King of Oudh Wajid ʻAli Shah,"Wajid ʻAli Shah, King of Oudh",,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,225 ₹,,,,,2017352096,,9789350643907,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:29:45.815826058,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643901.01Z.jpg,
Ruk̲h̲asata karo mujhe,,,,,Munavvar Rānā,"Rānā, Munavvar",,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,200 ₹,,,,,,,9789387409088,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/24 16:27:59.443629026,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9387409082.01Z.jpg,
