Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Āsamāna se āge,,[g̲h̲azala saṅgraha],,,Rājeśa Reḍḍī,"Reḍḍī, Rājeśa",,,,,,Vani Prakashan,,,2009,,,,,Collection of ghazals.,,,,,,,,,,,130,,,,,200 ₹,Hindi,,,,2009306304,,9789350000243,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:17:48.978911995,,,,,,,nFHMiCNnqy8C,Hindi,0,0,,,
Āsamāna se āge,,[g̲h̲azala saṅgraha],,,Rājeśa Reḍḍī,"Reḍḍī, Rājeśa",,,,,,Vani Prakashan,,,2009,,,,,Collection of ghazals.,,,,,,,,,,,130,,,,,200 ₹,Hindi,,,,2009306304,,9789350000243,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:17:09.144247055,,,,,,,nFHMiCNnqy8C,Hindi,0,0,,,
"Baharhaal, Dhanyavaad",,,,,Achala Bansal,"Bansal, Achala",,,,,,Rajkamal Prakashan,,2018/10/31,2018,,,,,"अचला बंसल अंग्रेज़ी में लिखनेवाली भारतीय कथाकार हैं जिन्हें अंग्रेज़ीभाषी पाठकों में उनकी सा$फगोई और गहरी अन्तर्दृष्टि के लिए जाना जाता है। उन्होंने अक्सर अपनी कहानियों में भारतीय समाज और मन के उन कोनों की पड़ताल की है जहाँ कई बार भारतीय भाषाओं के लेखक भी जाने से चूक जाते हैं। वे उन गिने-चुने अंग्रेज़ी लेखकों में हैं जिन्हें पढऩे से पता चलता है कि भारतीय अंग्रेज़ी लेखन अपनी दुनिया को सि$र्फ विदेशी निगाह से नहीं देखता। अचला बंसल ने अपनी कहानियों में न सिर्फ उन विडम्बनाओं को बहुत स्पष्ट निगाह से देखा है जिनसे हमारा मध्य और निम्न-मध्य वर्ग गुज़रता है, बल्कि उच्च मध्यवर्गीय समाज की तहों में भी वे बहुत विश्वसनीय ढंग से उतरती हैं। इसके साथ ही अपने पात्रों की मनोवैज्ञानिक पड़ताल भी उनकी कहानियों की एक विशेषता है जिसका बहुत अच्छा उदाहरण इस संग्रह में शामिल कहानी ‘तुरुप का पत्ता’ है। इस कहानी में पुरुष समलैंगिकता में पौरुष की भूमिका को स्त्री के विरुद्ध जाते हुए बहुत महीन ढंग से दिखाया गया है। इस परिस्थिति में जटिल होते रिश्तों में स्त्री की असहायता को शायद ही कभी इतने मार्मिक ढंग से उठाया गया हो। संग्रह में शामिल सभी कहानियाँ हिन्दी के पाठकों के लिए एक भिन्न भावभूमि पर एक भिन्न पाठ-अनुभव उपलब्ध कराती हैं जो न सि$र्फ अपनी विषयवस्तु में नया है बल्कि ट्रीटमेंट में भी। बेशक सभी कहानियाँ अनूदित हैं लेकिन जानी-मानी कथाकार और अचला जी की बहन मृदुला गर्ग तथा हमारे समय के बहुत संवेदनशील रचनाकार प्रियदर्शन व स्मिता द्वारा किए गए इन अनुवादों में कहीं भी भाषा के स्तर पर अपरिचय जैसा महसूस नहीं होता।",,,,,,,,,,,160,,,,,350 INR,English,,,,,,9788126730506,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:14:50.884726047,,,,,,,I115DwAAQBAJ,Hindi,0,0,,,
Chitrpriya,,,,,Akilon,Akilon,,,,,,Rajpal & Sons,,,2013,,,,,Hindi translation of Tamil Novel - Chittirpave,,,,,,,,,,,310,,,,,250 ₹,Hindi,,,,,,9788170283454,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:14:22.248744964,,,,,,,vFzWfinxmrkC,Hindi,0,0,,,
Gule-nag̲h̲amā,,Bhāratīya Jñānapīṭha puraskāra dvārā sammānita kr̥ti,,,Firāq Gorakhpūrī,"Gorakhpūrī, Firāq",,,,,,Lokabhāratī Prakāśana,,,2019,,,,,,,,,,,,,,,,280,,,,,195 ₹,Urdu,,,,,,9788180319938,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:21:29.140665054,,,,,,,YctazQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/8180319938.01Z.jpg,
Gule-nag̲h̲amā,,Bhāratīya Jñānapīṭha puraskāra dvārā sammānita kr̥ti,,,Firāq Gorakhpūrī,"Gorakhpūrī, Firāq",,,,,,Lokabhāratī Prakāśana,,,2019,,,,,,,,,,,,,,,,280,,,,,195 ₹,Urdu,,,,,,9788180319938,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:20:30.304291009,,,,,,,YctazQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/8180319938.01Z.jpg,
K̲h̲āmośī,,,,,Gauhar Raza,"Raza, Gauhar",,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,225 ₹,Hindi,,,,,,9789386534200,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:20:51.871009945,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534207.01Z.jpg,
Media,,,,,Yuripidiz,Yuripidiz,,,,,,Vani Prakashan,,,2003,,,,,,,,,,,,,,,,48,,,,,200 ₹,Hindi,,,,,,9788181430397,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:16:12.508440971,,,,,,,CCWnHWN0ldsC,Hindi,0,0,,,
Rakta Kalyan,,,,,Girish Karnad,"Karnad, Girish",,,,,,Rādhākr̥shṇa,,,1997,,,,,,,,,,,,,,,,95,,,,,300 ₹,Hindi,,,,,,9788171191710,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:13:50.627771019,,,,,,,bcbte9_e5IcC,Hindi,0,0,,,
पीतांबरा,,,,,Bhagavatīśaraṇa Miśra,"Miśra, Bhagavatīśaraṇa",,,,,,राजपाल एंड सन्ज़,,,1993,,,,Fiction,"Based on the life of Mīrābāi, fl. 1516-1546, Hindi saint poetess.",,,,,,,,,,,623,,,,,450 ₹,Hindi,,,,93904116,,9788170281436,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 15:15:30.383841037,,,,,,,W51ZtSwpYwwC,Hindi,0,0,,,
