Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Best of Sahir,,,,,1921-1980 Sāḥir Ludhiyānvī,"Sāḥir Ludhiyānvī, 1921-1980",,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,295 ₹,Hindi,,,,,,9789350643112,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:44:14.342779994,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643111.01Z.jpg,
Do Loga,,nôvala,,,Gulazāra,Gulazāra,,,,,,Hārpara Hindī,,,2017,,,,,,,,,,,,,,,,172,,,,,350 ₹,Hindi,,,,2017352031,,9789352774258,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:42:08.640020012,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9352774256.01Z.jpg,
Ek Maheena Nazmon Ka,,,,,Irshad Kamil,"Kamil, Irshad",,,,,,Vani Prakashan,,2015/05/01,2015,,,,,,,,,,,,,,,,217,,,,,395 INR,Hindi,,,,,,9789350729212,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:45:40.851832985,,,,,,,jI_WDgAAQBAJ,Hindi,0,0,,,
Gucchā,,,,,Gulazāra,Gulazāra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 ₹,Hindi,,,,,,9788181435989,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:48:43.789911031,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8181435982.01Z.jpg,
Gucchā,,,,,Gulazāra,Gulazāra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 ₹,Hindi,,,,,,9789352291564,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:49:39.211752057,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9352291565.01Z.jpg,
Gucchā,,,,,Gulazāra,Gulazāra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 ₹,Hindi,,,,,,9788181435989,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:57:27.097568035,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8181435982.01Z.jpg,
Gucchā,,,,,Gulazāra,Gulazāra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 ₹,Hindi,,,,,,9788181435989,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:59:10.501394033,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8181435982.01Z.jpg,
Plūṭo,,,,,Gulazāra.,Gulazāra.,,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,143,,,,,200 ₹,Hindi,,,,,,9789350725986,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:44:48.065330028,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350725983.01Z.jpg,
Plūṭo,,,,,Gulazāra.,Gulazāra.,,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,143,,,,,200 ₹,Hindi,,,,,,9789350725986,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:54:10.235329985,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350725983.01Z.jpg,
Pukharāja,,,,,Gulazāra.,Gulazāra.,,,,,,Rūpa eṇḍa Kampanī,,,1994,,,,,,,,,,,,,,,,200,,,,,295 ₹,Hindi,,,,94903496,,9788171672264,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/26 14:58:27.413725018,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8171672264.01Z.jpg,
