Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Anokhā peṛa,,,,,Vijayadānna Dethā,"Dethā, Vijayadānna",,,,,,Vāṇī Prakāśana,,,2012,,,,,,,,,,,,,,,,152,,,,,300 ₹,,,,,,,9789350721544,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 12:41:47.959972023,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/FD72CFFB-4FEB-445C-9D7E-B22DD4098FC1,
Areba-Pareba,,,,,Udya Prakash,"Prakash, Udya",,,,,,Vani Prakashan,,2018/01/20,2018,,,,Juvenile Fiction,,,,,,,,,,,,236,,,,,575 ₹,Hindi,,,,,,9789387648425,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 12:40:14.003890037,,,,,,,91tHDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/901FA398-EC14-4278-B075-63C85639DD2C,
Areba-Pareba,,,,,Udya Prakash,"Prakash, Udya",,,,,,Vani Prakashan,,2018/01/20,2018,,,,Juvenile Fiction,,,,,,,,,,,,236,,,,,575 ₹,Hindi,,,,,,9789387648425,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 12:39:29.002344965,,,,,,,91tHDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/191694A6-8BB8-47A1-B6FC-DB796B1139FD,
K̲h̲ālī nāma gulāba kā,,,,,Umberto Eco,"Eco, Umberto",,,,,,,,,,,,,,,,,,,,,,,,,483,,,,,395 ₹,,,,,,,9788126728947,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 12:43:05.430410981,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126728949.01Z.jpg,
Teen puraskrit natak,,,,,Vibhā Rānī,"Rānī, Vibhā",,,,,,Vani Prakashan,,,2002,,,,Hindi drama,,,,,,,,,,,,128,,,,,200 ₹,Hindi,,,,2003306608,,9788170551317,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 12:38:31.998535990,,,,,,,FgQ8HbURIJEC,Hindi,0,0,,,
Ugra ki shrestha kahaniyaan,,,,,Pāṇḍeya Becana Śarmā,"Śarmā, Pāṇḍeya Becana",,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,235 ₹,,,,,,,9789350643242,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 12:43:48.465366959,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643243.01Z.jpg,
