Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Ak̲h̲tara Śīrānī,,"Ak̲h̲tara Śīrānī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, phuṭakara śe'ra aura sā̆neṭa = Akhtar Shirani",,,1905-1948 Ak̲h̲tar Shīrānī,"Ak̲h̲tar Shīrānī, 1905-1948",,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,125 ₹,Hindi,,,,,,9789386534064,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:48:13.693869948,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534061.01Z.jpg,
Faiza Ahamada 'Faiza',,"Faiza Ahamada 'Faiza' kī jīvanī aura unakī behatarīna g̲h̲azaleṃ, nazmeṃ, śe'ra aura qate = Faiz",,,Faiẓ Aḥmad Faiẓ,"Faiẓ, Faiẓ Aḥmad",,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,150 ₹,Hindi,,,,,,9789350643143,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:47:43.858844041,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350643146.01Z.jpg,
Jośa Malīhābādī,,"Jośa Malīhābādī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, rūbāiyām̐ aura śe'ra = Josh Malihabadi",,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,125 ₹,Hindi,,,,,,9789386534002,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:50:57.401216030,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534002.01Z.jpg,
Jośa Malīhābādī,,"Jośa Malīhābādī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, rūbāiyām̐ aura śe'ra = Josh Malihabadi",,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,125 ₹,Hindi,,,,,,9789386534002,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:50:19.330008029,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534002.01Z.jpg,
Pattoṃ para pāzeba,,,,,Avanīśa Kumāra,"Kumāra, Avanīśa",,,,,,Vāṇī Prakāśana,,,2011,,,,,,,,,,,,,,,,122,,,,,100 ₹,Hindi,,,,,,9789350007365,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:46:20.251898050,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350007363.01Z.jpg,
Qatīla Śāfāī,,"Qatīla Śāfāī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ aura nag̲h̲me",,,Qatīl Shafāʼī,"Shafāʼī, Qatīl",,,,,,Rājapāla eṇḍa Sanza,,,2016,,,,,,,,,,,,,,,,127,,,,,140 ₹,Urdu,,,,,,9789350643853,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:50:39.215353965,,,,,,,SJnXuQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350643855.01Z.jpg,
Zauqa,,"Zauqa kī jīvanī aura unakī behatarīna g̲h̲azaleṃ, rūbāiyām̐, seharā aura masanavī",,,Shaik̲h̲ Muḥammad Ibrāhīm Z̲auq,"Z̲auq, Shaik̲h̲ Muḥammad Ibrāhīm",,,,,,Rājapāla eṇḍa Sanza,,,2017,,,,,,,,,,,,,,,,121,,,,,125 ₹,Hindi,,,,,,9789386534019,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:49:59.190122961,,,,,,,OkzQuQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9386534010.01Z.jpg,
Zauqa,,"Zauqa kī jīvanī aura unakī behatarīna g̲h̲azaleṃ, rūbāiyām̐, seharā aura masanavī",,,Shaik̲h̲ Muḥammad Ibrāhīm Z̲auq,"Z̲auq, Shaik̲h̲ Muḥammad Ibrāhīm",,,,,,Rājapāla eṇḍa Sanza,,,2017,,,,,,,,,,,,,,,,121,,,,,125 ₹,Hindi,,,,,,9789386534019,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:49:32.832903981,,,,,,,OkzQuQEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9386534010.01Z.jpg,
मुहंमद अलवी,,Sabdoṁ kā citrakāra,,,Nidā Fāz̤lī,"Fāz̤lī, Nidā",,,,,,Vani Prakashan,,,1997,,,,,,,,,,,,,,,,101,,,,,150 ₹,Hindi,,,,,,9788170555568,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/25 16:44:54.198236942,,,,,,,hdHc57Y9e5EC,Hindi,0,0,,,
